CNAE|Subdivisao
30.5|Fabricação de<br>veículos<br>militares de<br>combate
30.9|Fabricação de<br>equipamentos de<br>transporte não<br>especificados...
31.0|Fabricação de<br>móveis
32.1|Fabricação de<br>artigos de<br>joalheria,<br>bijuteria...
32.2|Fabricação de<br>instrumentos<br>musicais
32.3|Fabricação de<br>artefatos para<br>pesca e<br>esporte
32.4|Fabricação de<br>brinquedos e<br>jogos<br>recreativos
32.5|Fabricação de<br>instrumentos e<br>materiais para<br>uso médico...
32.9|Fabricação de<br>produtos<br>diversos
33.1|Manutenção e<br>reparação de<br>máquinas e<br>equipamentos
33.2|Instalação de<br>máquinas e<br>equipamentos
35.1|Geração,<br>transmissão e<br>distribuição de<br>energia elétrica
35.2|Produção e<br>distribuição de<br>combustíveis<br>gasosos...
35.3|Produção e<br>distribuição de<br>vapor, água<br>quente...
36.0|Captação,<br>tratamento e<br>distribuição de<br>água
37.0|Esgoto e<br>atividades<br>relacionadas
38.1|Coleta de<br>resíduos
38.2|Tratamento e<br>disposição de<br>resíduos
38.3|Recuperação de<br>materiais
39.0|Descontaminação<br>e outros<br>serviços de<br>gestão de...
41.1|Incorporação<br>de<br>empreendimentos<br>imobiliários
41.2|Construção de<br>edifícios
42.1|Construção de<br>rodovias,<br>ferrovias,<br>obras...
42.2|Obras de<br>infraestrutura<br>para energia<br>elétrica...
42.9|Construção de<br>outras obras de<br>infraestrutura
43.1|Demolição e<br>preparação do<br>terreno
43.2|Instalações<br>elétricas,<br>hidráulicas e<br>outras...
43.3|Obras de<br>acabamento
43.9|Outros serviços<br>especializados<br>para<br>construção
45.1|Comércio de<br>veículos<br>automotores
45.2|Manutenção e<br>reparação de<br>veículos<br>automotores
45.3|Comércio de<br>peças e<br>acessórios para<br>veículos...
45.4|Comércio,<br>manutenção e<br>reparação de<br>motocicletas...
46.1|Representantes<br>comerciais e<br>agentes do<br>comércio...
46.2|Comércio<br>atacadista de<br>matérias-primas<br>agrícolas...
46.3|Comércio<br>atacadista<br>especializado em<br>produtos...
46.4|Comércio<br>atacadista de<br>produtos de<br>consumo não...
46.5|Comércio<br>atacadista de<br>equipamentos e<br>produtos...
46.6|Comércio<br>atacadista de<br>máquinas,<br>aparelhos...
46.7|Comércio<br>atacadista de<br>madeira,<br>ferragens...
46.8|Comércio<br>atacadista<br>especializado em<br>outros...
46.9|Comércio<br>atacadista não<br>especializado
47.1|Comércio<br>varejista não<br>especializado
47.2|Comércio<br>varejista de<br>produtos<br>alimentícios...
47.3|Comércio<br>varejista de<br>combustíveis para<br>veículos...
47.4|Comércio<br>varejista de<br>material de<br>construção
47.5|Comércio<br>varejista de<br>equipamentos de<br>informática...
47.6|Comércio<br>varejista de<br>artigos<br>culturais...
47.7|Comércio<br>varejista de<br>produtos<br>farmacêuticos...
47.8|Comércio<br>varejista de<br>produtos novos<br>não...
47.9|Comércio<br>ambulante e<br>outros tipos de<br>comércio...
49.1|Transporte<br>ferroviário e<br>metroferroviário
49.2|Transporte<br>rodoviário de<br>passageiros
49.3|Transporte<br>rodoviário de<br>carga
49.4|Transporte<br>dutoviário
49.5|Trens<br>turísticos,<br>teleféricos e<br>similares
50.1|Transporte<br>marítimo de<br>cabotagem e<br>longo curso
50.2|Transporte por<br>navegação<br>interior
50.3|Navegação de<br>apoio
50.9|Outros<br>transportes<br>aquaviários
51.1|Transporte<br>aéreo de<br>passageiros
51.2|Transporte<br>aéreo de<br>carga
51.3|Transporte<br>espacial
52.1|Armazenamento,<br>carga e<br>descarga
52.2|Atividades<br>auxiliares dos<br>transportes<br>terrestres
52.3|Atividades<br>auxiliares dos<br>transportes<br>aquaviários
52.4|Atividades<br>auxiliares dos<br>transportes<br>aéreos
52.5|Atividades<br>relacionadas à<br>organização do<br>transporte...
53.1|Atividades de<br>Correio
53.2|Atividades de<br>malote e de<br>entrega
55.1|Hotéis e<br>similares
55.9|Outros tipos de<br>alojamento não<br>especificados...
56.1|Restaurantes e<br>outros serviços<br>de alimentação<br>e bebidas
56.2|Serviços de<br>catering, bufê e<br>outros serviços<br>de comida...
58.1|Edição de<br>livros, jornais,<br>revistas e<br>outras...
58.2|Edição<br>integrada à<br>impressão de<br>livros, jornais...
59.1|Atividades<br>cinematográficas,<br>produção de<br>vídeos...
59.2|Atividades de<br>gravação de som<br>e de edição de<br>música
60.1|Atividades de<br>rádio
60.2|Atividades de<br>televisão
61.1|Telecomunicações<br>por fio
61.2|Telecomunicações<br>sem fio
61.3|Telecomunicações<br>por satélite
61.4|Operadoras de<br>televisão por<br>assinatura
61.9|Outras<br>atividades de<br>telecomunicações
62.0|Atividades dos<br>serviços de<br>tecnologia da<br>informação
63.1|Tratamento de<br>dados,<br>hospedagem na<br>Internet...
63.9|Outras<br>atividades de<br>prestação de<br>serviços de...
64.1|Banco Central
64.2|Intermediação<br>monetária -<br>depósitos à<br>vista
64.3|Intermediação<br>não monetária -<br>outros<br>instrumentos...
64.4|Arrendamento<br>mercantil
64.5|Sociedades de<br>capitalização
64.6|Atividades de<br>sociedades de<br>participação
64.7|Fundos de<br>investimento
64.9|Atividades de<br>serviços<br>financeiros não<br>especificadas...
65.1|Seguros de vida<br>e não vida
65.2|Seguros-saúde
65.3|Resseguros
65.4|Previdência<br>complementar
65.5|Planos de saúde
66.1|Atividades<br>auxiliares dos<br>serviços<br>financeiros
66.2|Atividades<br>auxiliares dos<br>seguros, da<br>previdência...
66.3|Atividades de<br>administração de<br>fundos por<br>contrato...
68.1|Atividades<br>imobiliárias de<br>imóveis próprios
68.2|Atividades<br>imobiliárias por<br>contrato ou<br>comissão
69.1|Atividades<br>jurídicas
69.2|Atividades de<br>contabilidade,<br>consultoria e<br>auditoria...
70.1|Sedes de<br>empresas e<br>unidades<br>administrativas...
70.2|Atividades de<br>consultoria em<br>gestão<br>empresarial
71.1|Serviços de<br>arquitetura e<br>engenharia e<br>atividades...
71.2|Testes e<br>análises<br>técnicas
72.1|Pesquisa e<br>desenvolvimento<br>experimental em<br>ciências...
72.2|Pesquisa e<br>desenvolvimento<br>experimental em<br>ciências...
73.1|Publicidade
73.2|Pesquisas de<br>mercado e de<br>opinião pública
74.1|Design e<br>decoração de<br>interiores
74.2|Atividades<br>fotográficas e<br>similares
74.9|Atividades<br>profissionais,<br>científicas e<br>técnicas não...
75.0|Atividades<br>veterinárias
77.1|Locação de<br>meios de<br>transporte sem<br>condutor
77.2|Aluguel de<br>objetos pessoais<br>e domésticos
77.3|Aluguel de<br>máquinas e<br>equipamentos sem<br>operador
77.4|Gestão de<br>ativos<br>intangíveis não<br>financeiros
78.1|Seleção e<br>agenciamento de<br>mão de obra
78.2|Locação de mão<br>de obra<br>temporária
